52,빅히트,"158,000",500,-0.32%,500,"56,286","35,624",3.59,"118,143",N/A,56.47,
53,코웨이,"72,800",100,-0.14%,500,"53,726","73,800",60.37,"172,599",15.04,30.74,
54,두산중공업,"14,300",400,-2.72%,"5,000","53,573","374,637",11.09,"3,132,449",-3.08,-14.73,
55,LG유플러스,"12,200",200,+1.67%,"5,000","53,267","436,611",30.16,"7,080,800",6.72,6.30,
56,HMM,"16,150",350,-2.12%,"5,000","52,766","326,726",7.46,"6,710,250",-52.10,-55.46,
57,유한양행,"77,400","1,600",-2.03%,"1,000","51,747","66,857",20.65,"579,171",29.82,2.43,
58,녹십자,"440,500",0,0.00%,"5,000","51,479","11,687",20.16,"511,132",118.16,-0.35,
59,강원랜드,"23,400",50,-0.21%,500,"50,062","213,940",22.20,"563,752",-26.35,9.16,
60,금호석유,"162,500",0,0.00%,"5,000","49,510","30,468",28.65,"430,405",13.90,11.84,
61,대한항공,"28,350",0,0.00%,"5,000","49,388","174,210",12.56,"3,535,744",-6.46,-22.09,
62,오리온,"123,500",500,-0.40%,500,"48,827","39,536",41.83,"93,839",17.84,14.24,
63,한국금융지주,"87,200","4,200",+5.06%,"5,000","48,593","55,726",29.91,"1,232,516",7.98,18.14,
64,삼성중공업,"7,450",0,0.00%,"5,000","46,935","630,000",15.49,"12,303,466",-3.76,-21.88,
65,한국타이어앤테크놀로지,"37,200","1,050",-2.75%,500,"46,082","123,875",39.13,"451,453",17.90,6.03,
66,아모레G,"55,200",300,-0.54%,500,"45,517","82,458",19.51,"155,284",195.05,4.12,
67,현대중공업지주,"287,000","4,500",+1.59%,"5,000","45,342","15,799",17.22,"98,036",-17.39,2.20,
68,SK케미칼,"386,000","5,500",-1.40%,"5,000","45,322","11,741",17.52,"129,588",17.61,1.51,
69,한미약품,"380,500","18,500",+5.11%,"2,500","45,063","11,843",13.52,"559,516","-3,694.17",7.30,
70,현대건설,"40,300",200,+0.50%,"5,000","44,876","111,356",18.85,"1,896,309",19.65,6.30,
71,LG이노텍,"184,500","4,000",-2.12%,"5,000","43,666","23,667",33.02,"308,737",33.45,4.73,
72,이마트,"156,500","1,500",-0.95%,"5,000","43,626","27,876",31.53,"283,552",7.81,2.76,
73,한진칼,"64,000",400,-0.62%,"2,500","42,408","66,263",15.22,"173,835",-10.56,-17.56,
74,CJ대한통운,"174,000","3,000",-1.69%,"5,000","39,693","22,812",21.36,"102,044",31.37,1.41,
75,맥쿼리인프라,"10,600",50,-0.47%,0,"39,452","372,192",14.12,"686,293",N/A,N/A,
76,SKC,"102,500",0,0.00%,"5,000","38,815","37,868",7.63,"504,558",45.49,3.86,
77,대웅,"66,000",900,-1.35%,500,"38,374","58,142",5.40,"6,803,976",76.04,10.43,
78,삼성증권,"42,550","1,200",+2.90%,"5,000","37,997","89,300",25.34,"1,954,888",8.08,8.15,
79,롯데지주,"35,750",250,+0.70%,200,"37,505","104,909",11.18,"357,887",-5.23,-5.21,
80,삼성카드,"31,600",350,-1.10%,"5,000","36,611","115,859",10.20,"171,279",8.88,5.04,
81,GS,"38,500",550,+1.45%,"5,000","35,772","92,915",18.77,"1,071,407",-41.76,6.26,
