tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,a8gdN2XKF9pWXGwUpUuhDLqRVLsHx9qrbMS2EpUwVMVT9n_T,소년가장 원딜,864,237,135,False,False,False,False
CHALLENGER,FcieyqhDkZncKrQs1pyrUu0-uqHqHAH3HR2NXyqg8xSIJU4,viper3,1546,523,422,True,False,False,False
CHALLENGER,dlJBWH6pcX68UUUMB39fUgNZ9w1n8yfLIKVjP2-FJDqh0xg,BRO Hena,1186,1646,1572,True,False,False,False
CHALLENGER,zQ0Y_GFo4jkSmhkroDNiXepUYL6B2VfTLrseGnHxlB5AFUk,와드박고갱당하기,935,1443,1312,False,False,True,False
CHALLENGER,wcxFAwLeE3plt_ZNRt5EeO8lGow-yRLlpa101plSTKR7nr8,BRO Lava ,1144,748,675,True,False,False,False
CHALLENGER,Yv6hJXJOqmMz2aBkMSK4n_eCfxg3JaWjtZGEjNRGW645VkU,Liiv KABBIE,994,540,483,True,False,False,False
CHALLENGER,wRiDUn_W8USdrlVUfRr5YVRz3rB5IbViYmEmRMbO-3nQvlU,이도류,979,857,797,True,False,False,False
CHALLENGER,frZHTQhfqVcMXd_fYzs0_Ndu1Jq8ypq6Nag1hxkysQPn0XQ,AF Minit,1348,561,472,True,False,False,False
CHALLENGER,6MMfK-O84fZg4HMch9XWXCE4Ta8z_YWzkv_2YC2VIZEps00,경주마최우제,985,475,403,True,False,False,False
CHALLENGER,Qm1N3ht3FzUherXyxF4H2m2ja1A3a3jE0F4R1UQEGZAstk0,Gen G Karis,1018,736,706,True,False,False,True
CHALLENGER,n4S8lH08bNAVyR9rFhcJ5NLHUiYf7VZvGI2Zz_da01bGO-c,Liiv FATE,1100,497,421,True,False,False,False
CHALLENGER,z7tWxRQMBAJ1R1_Ss50M3waY1QP-Zedc_MrsEyj0e7L1-2k,EDGZhaoQQ888765,1321,1757,1551,True,False,False,False
CHALLENGER,mV7y9A_kCd8S3s2KfUDaR1u6utyOTdhcILnVybaJYLJV6Rw,Gen G Peyz,862,997,922,False,False,True,False
CHALLENGER,iVRwHyQ_ppfjvPZr5hpTp-i4iPqLo_g4PfON21_b64Vf3NY,따봉 람머스,894,1107,1036,False,False,True,False
CHALLENGER,PKDYXU9ZDFAdQlHAAKsSQT3vGLeHRgEl9TRNPYLL3rA5MGNy,불면증환자임,961,344,223,False,False,False,False
CHALLENGER,t9btwxKmtYta3l3KSd-ogKIOFY4OCGssUSmxfosgFxEV5FQ,파이팅 인생,1119,740,683,True,False,False,False
CHALLENGER,_hu9CQv4HHaUgx0nWVuJYeltBIX0TlllqFIZPKnBfzVtank,FA ian,1007,497,419,True,False,False,False
CHALLENGER,nO98JqHPlebVrzFkMjO42K0KT3YZ_WMsUrDfG7O8Hjj1nHI,hao yun bao bei,1003,657,595,False,False,False,False
CHALLENGER,3dcD88VDqUZC8lLrJQony-Nj18zq-TPv_IphqoA3VGwCkEE,40900202,1147,1137,1023,True,False,False,True
CHALLENGER,0kM5WOvyiT7fJv0A3zfMWmKDcdRhBZdP0IQXvsEBd3dWBE0,난 모르겟다,867,367,310,False,False,False,True
CHALLENGER,RJZXK6i6Xe95CoBlGcsevTmP6YLIZkGqPZIuPb3fgDmmi1A,야 핑 좀 꺼줄래,898,429,372,False,False,False,False
CHALLENGER,QCJSZdOmjqpxAX3NAO2vXeOB7T6rLIDhxThIIM8MuOnYK7E, 다드몬아이다,971,418,300,True,False,False,False
CHALLENGER,L_nezdBt7Omq_VBa-76fNL15_tRy5MZw7j1AgCZEHNNalYg,srysmallChicken,1202,485,404,False,False,False,False
CHALLENGER,vI0KNV_-0pWhcYlyAHLJIgXkwfFTNNHfxr8nSlnTkoRx7xQ,Liiv KingKong,951,728,661,False,False,False,False
CHALLENGER,5VfE8FONpfGh0dAbsyl96GEcDBheUpxE4Fsx6NAj0pGIVjI,Corporals Dog,846,878,829,False,False,True,False
CHALLENGER,GhDF4b_LcCiL8R5yheYFp_fxIrYG6SXLlco8TVJHyC5KynM,Vital1,874,154,75,False,False,False,False
CHALLENGER,J63l8cnQ0xySUWCYUUNn3Z2-2cIdWHpr98qDYirJyba4UQ,Iove galio,923,476,392,True,False,False,False
CHALLENGER,MausxzFgsH9V4ckJ5q6iEoj_XpODPMprJtlMkJCi5ybNsg,Swordart777,860,632,545,False,False,True,False
