minisong,준선이는승현이꺼,분홍콩,동혁이에오,연습용 오른,오늘 날짜
DIAMOND III 0 점,SILVER II 60 점,GOLD IV 58 점,SILVER II 25 점,SILVER III 7 점,2021-01-07 12:04:54.130518
DIAMOND III 0 점,SILVER II 60 점,GOLD IV 58 점,SILVER II 25 점,SILVER III 7 점,2021-01-07 12:05:45.226672
